ChemicalName,count
Titanium dioxide,31133
Cocamide diethanolamine,938
"Titanium dioxide, Silica, crystalline (airborne particles of respirable size)",720
"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",570
Retinyl palmitate,424
Trade Secret,406
"Talc, Titanium dioxide",351
"Silica, crystalline (airborne particles of respirable size)",337
"Titanium dioxide, Carbon black",330
Triethanolamine,306
Vitamin A palmitate,282
Butylated hydroxyanisole,278
Carbon black,272
"Silica, crystalline (airborne particles of respirable size), Titanium dioxide",267
"Mica, Titanium dioxide",223
Cocamide DEA,210
"Titanium dioxide, Mica",160
"Titanium dioxide, Titanium dioxide",154
"Mineral oils, untreated and mildly treated",144
"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents., Titanium dioxide",143
"Carbon black, Titanium dioxide",132
Retinol,128
Benzophenone,116
Talc,98
"Titanium dioxide, Carbon black (airborne, unbound particles of respirable size)",94
"Titanium dioxide, Retinyl palmitate",94
Estragole,89
Cocamide MEA,87
"Aloe vera, whole leaf extract",85
Mica,77
"Retinyl palmitate, Titanium dioxide",76
"Titanium dioxide, Butylated hydroxyanisole",74
"Titanium dioxide, Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",74
"Titanium dioxide, Vitamin A palmitate",71
"Mineral oils, untreated and mildly treated, Mica, Titanium dioxide",68
Formaldehyde (gas),67
"Carbon black (airborne, unbound particles of respirable size)",64
"Titanium dioxide, Talc",61
"Titanium dioxide (airborne, unbound particles of respirable size)",57
Coffee,54
Methyleugenol,53
"Vitamin A palmitate, Titanium dioxide",53
Isopropyl alcohol manufacture using strong acids,52
Ginkgo biloba extract,47
Toluene,46
"Butylated hydroxyanisole, Titanium dioxide",45
Styrene,44
"Titanium dioxide, Mineral oils, untreated and mildly treated",40
Coffea arabica extract,40
Coal tars,38
Lauramide DEA,33
Caffeine,33
"Cosmetic talc, Mica, Mineral oils, untreated and mildly treated, Titanium dioxide",31
Phenacetin,31
"Titanium dioxide, Titanium dioxide, Titanium dioxide",30
"1,4-Dioxane",29
"Titanium dioxide, Mica, Talc",27
"Mineral oils, untreated and mildly treated, Titanium dioxide",24
"Triethanolamine, Titanium dioxide",23
Diethanolamine,22
"Titanium dioxide, Cosmetic talc",21
Vitamin A,21
"Titanium dioxide, Mica, Silica, crystalline (airborne particles of respirable size)",21
"Cosmetic talc, Mica, Titanium dioxide",20
Progesterone,19
Cosmetic talc,18
"Butylated hydroxyanisole, Progesterone",18
"Ethylene oxide, 1,4-Dioxane",17
"Carbon black (airborne, unbound particles of respirable size), Titanium dioxide",17
Quartz,17
Acetaldehyde,16
Oil Orange SS,16
"Cocamide diethanolamine, Cocamide diethanolamine",16
Coal Tar,15
beta-Myrcene,15
Selenium sulfide,15
"Aloe vera, whole leaf extract, Titanium dioxide",14
"Titanium dioxide, Formaldehyde (gas)",14
"Titanium dioxide, Titanium dioxide, Titanium dioxide, Titanium dioxide, Titanium dioxide, Titanium dioxide",14
"Talc, Mica, Titanium dioxide",14
"Titanium dioxide, Ginkgo biloba extract",13
"Cosmetic talc, Titanium dioxide",13
N-Methylpyrrolidone,11
"Titanium dioxide, Titanium dioxide, Titanium dioxide, Titanium dioxide",11
"Titanium dioxide, beta-Myrcene",10
"Mica, Silica, crystalline (airborne particles of respirable size)",10
"Titanium dioxide, Aloe vera, whole leaf extract",9
"Vitamin A palmitate, Retinol",9
"Titanium dioxide, Coffea arabica extract",9
"Mica, Cosmetic talc, Titanium dioxide",9
Genistein (purified),8
"Methyleugenol, Estragole",8
"Mica, Titanium dioxide, Silica, crystalline (airborne particles of respirable size)",8
"Mica, Titanium dioxide, Talc",8
"Coffea arabica extract, Titanium dioxide",8
"Toluene, Titanium dioxide",8
Ethanol in alcoholic beverages,8
Ethylene glycol,8
"Butylated hydroxyanisole, Methyleugenol",8
Propylene glycol mono-t-butyl ether,8
o-Phenylphenol,8
"Retinol, Titanium dioxide",8
"Vitamin A palmitate, Triethanolamine",8
"Mineral oils, untreated and mildly treated, Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",8
"Estragole, Methyleugenol",7
Aspirin,7
"Mica, Silica, crystalline (airborne particles of respirable size), Titanium dioxide",7
"N,N-Dimethyl-p-toluidine",7
"Titanium dioxide, Talc, Mica",7
o-Phenylenediamine and its salts,7
"Estragole, Methyleugenol, Toluene",7
Di-n-butyl phthalate (DBP),7
Pulegone,6
Quinoline and its strong acid salts,6
"Titanium dioxide, Triethanolamine",6
"Titanium dioxide, N,N-Dimethyl-p-toluidine",6
"Titanium dioxide, Titanium dioxide, Titanium dioxide, Titanium dioxide, Titanium dioxide, Titanium dioxide, Titanium dioxide, Titanium dioxide",6
Coffee extract,6
"Silica, crystalline (airborne particles of respirable size), Silica, crystalline (airborne particles of respirable size)",6
"Titanium dioxide, Silica, crystalline (airborne particles of respirable size), Carbon black",6
Retinyl acetate,6
"Silica, crystalline (airborne particles of respirable size), Mica, Titanium dioxide",6
Benzophenone-3,6
"Diethanolamine, Triethanolamine",5
"Ethylene glycol, Methyleugenol",5
Methanol,5
"Silica, crystalline (airborne particles of respirable size), Mica",5
Lead acetate,5
"Talc, Titanium dioxide, Talc, Titanium dioxide",5
Caffeic acid,5
"Cocamide diethanolamine, Titanium dioxide",5
"Titanium dioxide, Cocamide diethanolamine",5
Avobenzone,5
"Cocamide diethanolamine, Formaldehyde (gas)",5
"Caffeine, Titanium dioxide",5
Dichloroacetic acid,5
Benzophenone-4,5
"Methyleugenol, Safrole",5
