Chemical Name,count
Titanium dioxide,4020
Cocamide diethanolamine,348
Retinol/retinyl esters,194
Mineral oils,96
Butylated hydroxyanisole,89
Mica,51
Cosmetic talc,47
Estragole,22
Silica,20
Retinyl palmitate,17
Cocamide DEA,16
Carbon black,15
Vitamin A palmitate,15
Methyleugenol,13
Coffea arabica extract,13
Benzophenone,13
Trade Secret,12
1,11
Triethanolamine,11
Cocamide MEA,11
Coffee,11
Diethanolamine,10
Formaldehyde (gas),10
Styrene,10
Carbon black (airborne,9
Acetaldehyde,8
Quartz,7
Ethylene glycol,7
Retinol,6
Phenacetin,4
Di-n-butyl phthalate (DBP),3
Goldenseal root powder,2
N-Methylpyrrolidone,2
Caffeic acid,2
Coal tars,2
Chromium (hexavalent compounds),1
Ethanol in alcoholic beverages,1
2,1
Progesterone,1
Titanium dioxide (airborne,1
Talc (powder),1
Aloe vera,1
Ethylene oxide,1
Ethyl acrylate,1
Ginkgo biloba extract,1
Methanol,1
Dichloromethane (Methylene chloride),1
Lead acetate,1
Diethanolamides of the fatty acids of coconut oil,1
Spironolactone,1
Genistein (purified),1
