ChemicalName,count
Titanium dioxide,657
Cocamide diethanolamine,285
Butylated hydroxyanisole,57
"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",56
Cocamide DEA,49
Estragole,48
"Silica, crystalline (airborne particles of respirable size)",44
Lauramide DEA,32
Trade Secret,22
Triethanolamine,19
Talc,17
Isopropyl alcohol manufacture using strong acids,14
Retinyl palmitate,13
Styrene,12
Toluene,10
"Cocamide diethanolamine, Cocamide diethanolamine",9
Acetaldehyde,9
Benzophenone,7
Vitamin A palmitate,7
Formaldehyde (gas),7
N-Methylpyrrolidone,6
Carbon black,6
"Butylated hydroxyanisole, Methyleugenol",6
"Ethylene glycol, Methyleugenol",5
Diethanolamine,5
"Carbon black (airborne, unbound particles of respirable size)",5
"Titanium dioxide (airborne, unbound particles of respirable size)",5
Coffee,4
"Mineral oils, untreated and mildly treated",4
"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents., Titanium dioxide",4
"2,4-Hexadienal (89% trans, trans isomer; 11% cis, trans isomer)",4
Carbon-black extracts,4
"Diethanolamine, Triethanolamine",4
Methyleugenol,4
Mica,4
"Butylated hydroxyanisole, Styrene, 2,4-Hexadienal (89% trans, trans isomer; 11% cis, trans isomer)",3
o-Phenylenediamine and its salts,3
Retinol,3
Polygeenan,3
Cocamide MEA,3
"N-Methylpyrrolidone, Titanium dioxide",2
Caffeic acid,2
Coal tars,2
beta-Myrcene,2
"Butylated hydroxyanisole, Styrene",2
"Coffee, Titanium dioxide, Silica, crystalline (airborne particles of respirable size)",2
Lauramide diethanolamine,2
Genistein (purified),2
Nickel (Metallic),2
"Aloe vera, whole leaf extract",2
Quinoline and its strong acid salts,2
Progesterone,2
C.I. Acid Red 114,2
"Safrole, Acetaldehyde, Benzo[a]pyrene, Estragole, Benz[a]anthracene",2
"Silica, crystalline (airborne particles of respirable size), Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",2
"Cocamide DEA, Estragole",1
"Diethanolamine, TEA-Lauryl Sulfate",1
"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents., Silica, crystalline (airborne particles of respirable size)",1
"Carbon black, Titanium dioxide",1
"Titanium dioxide, Silica, crystalline (airborne particles of respirable size)",1
"Mica, Benzophenone-3",1
2-Propyleneacrolein,1
Vitamin A,1
Ethyl acrylate,1
"Cocamide diethanolamine, Methyleugenol, Estragole, Safrole",1
"Silica, crystalline (airborne particles of respirable size), Silica, crystalline (airborne particles of respirable size)",1
"Titanium dioxide, Methyleugenol",1
Ethylene glycol,1
"Cocamide DEA, Diethanolamine, Lauramide DEA",1
"Estragole, Cocamide diethanolamine",1
"Titanium dioxide, Butylated hydroxyanisole",1
Hydrous magnesium silicate,1
Propylene glycol mono-t-butyl ether,1
"Retinol, Butylated hydroxyanisole",1
"Methyleugenol, Formaldehyde (gas), Estragole, Ethylene glycol",1
"Formaldehyde (gas), Methyleugenol, Safrole",1
Benzophenone-4,1
Benzophenone-3,1
Diethanolamides of the fatty acids of coconut oil,1
"Silica, crystalline (airborne particles of respirable size), Titanium dioxide",1
Caffeine,1
"1,4-Dioxane, Acetaldehyde, Benzene, Benzyl chloride, Ethylene oxide, Methyl chloride, Dichloromethane (Methylene chloride), N-Nitrosodimethylamine, Propylene oxide",1
"1,4-Dioxane",1
"Acetaldehyde, 1,4-Dioxane, Ethylene oxide, Formaldehyde (gas), Propylene oxide",1
"1,4-Dioxane, Acetaldehyde",1
Benzophenone-2,1
"Formaldehyde (gas), Titanium dioxide",1
Dichloromethane (Methylene chloride),1
"1,4-Dioxane, Acetaldehyde, Benzene, Benzyl chloride, Ethylene oxide, N-Nitrosodimethylamine, Propylene oxide",1
"1,4-Dioxane, Arsenic (inorganic arsenic compounds), Dichloroacetic acid, Ethylene oxide, Formaldehyde (gas), Lead, Dichloromethane (Methylene chloride)",1
Acetylsalicylic acid,1
"Benzophenone, Estragole",1
