removed_yr,BrandName,ProductName,chemical_count
2000,RITUALS,Elixir Collection Scalp Therapy Elixir,1
2006,Central,Whirlpool Shampoo & Body Wash,2
2009,Aloe Up Lil' Kids SPF 45 Aloe Based Sunscreen Lotion,Aloe Up Lil' Kids SPF 45 Aloe Based Sunscreen Lotion,1
2009,Aloette,Creme-to-Powder,1
2009,Aloette,Pro-Lipid Refine,1
2009,Aloette,Restorative Enzyme Peel,1
2009,Aloette,Ultra Finish SPF 15 Foundation,3
2009,Axe,Axe Constrict De-Poof Shampoo,1
2009,Axe,Axe Constrict Shampoo Clean and Control,1
2009,B/S 2 1/2 OX QUICK DRY GRADE 17N0190024,B/S 2 1/2 OZ QUICK DRY,1
2009,BIOLOGIQUE RECHERCHE,CREME HYDRAVIT'S,1
2009,BIOLOGIQUE RECHERCHE,CREME SPLENDIDE,1
2009,Bed Head,Big Fat Fun Lipliner - Espresso,1
2009,Benefit Cosmetics,BadGal Lash,1
2009,BioSilk,BubbleGum Bubbles No Tears Shampoo,1
2009,Bioelements,Mid Cover Makeup,1
2009,Bliss,Best of Skintentions,6
2009,Bonne Bell,Glimmer Bronze,1
2009,Burt�s Bees,Burt�s Bees Radiance Day Lotion SPF 7,1
2009,CARITA,PROGRESSIF - PERLE DE JEUNESSE COU ET DECOLLETE / PEARL OF YOUTH FOR NECK AND DECOLLETAGE,1
2009,CARITA,PROGRESSIF - PERLE DE JEUNESSE NUTRITIVE / PEARL OF YOUTH - NUTRITIVE,2
2009,CARITA,PROGRESSIF - SERUM PERLE DE JEUNESSE / PEARL OF YOUTH SERUM,1
2009,CHI,CHI Infra Environmental High Lift Cream Color - NBR Natural Brown,1
2009,CLARINS PARIS,CLARINS MEN - UV PROTECTION SPF 40 HAUTE PROTECTION / HIGHT PROTECTION,1
2009,CLARINS PARIS,CRAYON YEUX / EYE PENCIL,1
2009,Caress,Caress Berry Indulging Body Wash,1
2009,Caress,Caress Exotic Infusions Japanese Delicate Cream Oil Body Wash,1
2009,Caress,Caress Exotic Oil Brazilian Body Wash,1
2009,Caress,Caress Exotic Oil Rich Moroccan Body Wash,1
2009,Caress,Caress Glowing Touch Silkening Body Wash,1
2009,Caress,Caress Whipped Souffle Blackberry Cream,1
2009,Caress,Caress Whipped Souffle White Peach Cream Body Wash,1
2009,ChristineChin,Crystal Clarity Microdermabrasion Creme,1
2009,Clairol Professional,Clairol Professional Complements Color Intensifier Blue,1
2009,Claudia Stevens,LFM Anti-feather color lock,1
2009,Clinique,ALMOST MAKEUP,1
2009,Colgate,Tartar Protection Whitening - Crisp Mint Paste,1
2009,Couleurs Nature,Pastel cream eyeshadow,1
2009,Couleurs Nature,Perfect eye liner,1
2009,Couleurs Nature,Powder stick foundation,1
2009,Crabtree & Evelyn,Gardeners Hand Scrub,1
2009,Crest,Crest Vivid White Fluoride Toothpaste  - Invigorating Mint,1
2009,Curve,Curve Chill Eau de Toilette Spray For Women,1
2009,Curve,Curve Chill Parfum,1
2009,Dis-Chem,Advanced Healing Therapeutic Skin Care Lotion,1
2009,Dove,Dove Beauty Body Wash Go Fresh Cool Moisture,1
2009,Dove,Dove Beauty Body Wash Go Fresh Refresh,1
2009,Dove,Dove Beauty Body Wash Pro-age,1
2009,Dove,Dove Cream Oil Body Wash,1
2009,Dove,Dove Cream Oil Body Wash Elegant Luxury,1
2009,Dove,Dove Cream Oil Body Wash Floral Indulgence,1
2009,Dove,Dove Cream Oil Hand Cream,1
2009,Dove,Dove Cream Oil Intensive Body Lotion,1
2009,Dove,Dove Cream Oil Shea Butter Body Lotion,1
2009,Dove,Dove Deep Moisture Beauty Body Wash,1
2009,Dove,Dove Nourishing Moisture Beauty Body Lotion,1
2009,Dove,Dove Pro Age Cream Oil Lotion SPF 5,1
2009,Dove,Dove Shine Therapy Shampoo,1
2009,Dove,Dove Supreme Cream Oil Body Wash Sleek Satin,1
2009,Dove,Dove Ultra Rich Velvet Body Wash,1
2009,EDGE,EDGE� INFUSED� - LOTIONIZED SHAVE GEL - REVITALIZING,1
2009,Earth Science,Almond Aloe Moisturizer SPF 15,1
2009,Earth Science,"Almond Aloe Moisturizer, Scented",1
2009,Earth Science,"Almond Aloe Moisturizer, Unscented",1
2009,Earth Science,Apricot Facial Scrub,1
2009,Elizabeth Arden,Elizabeth Arden 5th avenue Moisturizing Body Lotion,1
2009,Elizabeth Arden,Elizabeth Arden Fifth Avenue Hydrating Cream Cleanser for the Body,1
2009,Elizabeth Arden,Elizabeth Arden Flawless Finish Radiant Moisture Makeup SPF 8,2
2009,Elizabeth Arden,Elizabeth Arden Green Tea Relaxing Bubble Bath,2
2009,Elizabeth Taylor,Elizabeth Taylor Forever Elizabeth Body Powder,1
2009,Elizabeth Taylor,Elizabeth Taylor Passion Gentle Moisturizing Body Wash,1
2009,Elizabeth Taylor,Elizabeth Taylor Passion Perfumed Body Dusting Powder,1
2009,Elizabeth Taylor,Elizabeth Taylor Passion Perfumed Body Lotion,1
2009,Fashion Fair,Fashion Fair Lipstick - Sangria Red - 8012,1
2009,Fingerpaints,Fingerpaints Top Coat,1
