created_yr,BrandName,ProductName,chemical_count
2009,100% natural origin,Cream balm,1
2009,100% natural origin,Loose pearls,1
2009,100% natural origin,Loose powder foundation,1
2009,100% natural origin,Sunny glow foundation,1
2009,2 Cruel,Romane 2 Cruel Sugar Body Polish,1
2009,3 minutes,Deliciously smooth scrub with apricot core,1
2009,5000,Fast Set Powder,1
2009,5000,Mix Powder,1
2009,5000,Natural Powder,1
2009,AMBI,AMBI COMPLEXION BAR,1
2009,AMBI,AMBI EVEN & CLEAR DAILY MOISTURIZER SPF 30,2
2009,AMBI,AMBI Soft & Even Creamy Oil Lotion,1
2009,ANEW,ANEW EYELIFTING SERUM SHADOW-ALL SHADES �,1
2009,ANEW,ANEW REJUVENATE DAY REVITALIZING CREAM SPF25 UVA/UVB �,2
2009,ANEW,ANEW SMOOTHING EYE LINER-ALL SHADES �,1
2009,AVEENO,AVEENO POSITIVELY AGELESS LIFTING AND FIRMING EYE CREAM,1
2009,AVEENO,"AVEENO POSITIVELY RADIANT ANTI-WRINKLE NIGHT CREAM,",1
2009,AVEENO,"AVEENO POSITIVELY RADIANT DAILY MOISTURIZER SPF 30,",2
2009,AVEENO,AVEENO POSITIVELY RADIANT DAILY MOISTURIZER WITH SPF 15,2
2009,AVEENO,"AVEENO POSITIVELY RADIANT FACIAL CLEANSER,",1
2009,AVEENO,"AVEENO POSITIVELY RADIANT FOAMING CLEANSER,",1
2009,AVEENO,AVEENO POSITIVELY RADIANT MOISTURIZING LOTION,1
2009,AVEENO,"Aveeno Advanced Ageless Daily Restorative Cream, SPF 30",2
2009,AVEENO,"Aveeno Nourish Plus Moisturize Shampoo,",1
2009,AVEENO,"Aveeno Nourish Plus Revitalize Shampoo,",1
2009,AVEENO,"Aveeno Nourish Plus Volumize Shampoo,",1
2009,AVEENO,Aveeno Nourish Shine Shampoo,1
2009,AVEENO,Aveeno Positively Radiant Body Wash,1
2009,AVEENO,"Aveeno Positively Radiant Tinted Moisturizer (Medium) SPF 30,",2
2009,AVEENO,"Aveeno Positively Radiant Tinted Moisturizer w/SPF 30 (Light),",2
2009,AVEENO,"Aveeno Positively Radiant Triple Boosting Serum,",1
